=== System Matrix ===
Size: 66 x 66
    (3.69554,0)  (-0.0134058,0)   (-0.014883,0)    (-4.53044,0)     (2.24575,0)   (-0.999311,0)    (0.364482,0)  (-0.0986043,0) (-0.00662565,0)   (0.0383966,0)  (-0.0467683,0)   (0.0445809,0)   (0.0244397,0)    (0.154047,0)    (0.499913,0)    (0.928149,0)     (1.12228,0)    (0.897096,0)    (0.461602,0)    (0.127715,0)   (0.0096877,0)   (0.0547874,0)  (-0.0601196,0)   (0.0541579,0)  (-0.0249168,0)  (-0.0779427,0)    (0.337563,0)   (-0.962347,0)     (2.17243,0)    (-4.28299,0)     (7.21907,0)    (-6.08319,0)     (4.05101,0)    (-2.34404,0)     (1.27854,0)   (-0.668283,0)    (0.342962,0)   (-0.128612,0)    (-6.07895,0)     (7.17094,0)    (-6.16426,0)     (4.38593,0)    (-2.80849,0)     (1.63914,0)   (-0.732905,0)     (4.05964,0)    (-6.18505,0)      (6.4709,0)    (-5.37073,0)     (3.81948,0)    (-2.02742,0)    (-2.34554,0)      (4.4042,0)    (-5.37296,0)     (4.93505,0)    (-3.20026,0)     (1.27453,0)    (-2.82005,0)     (3.81274,0)    (-3.17922,0)   (-0.652912,0)     (1.62853,0)    (-1.97846,0)    (0.317403,0)   (-0.688623,0)  (-0.0936198,0) 
 (-0.0134058,0)     (3.69554,0)   (-0.014883,0)   (0.0445809,0)  (-0.0467683,0)   (0.0383966,0) (-0.00662565,0)  (-0.0986043,0)    (0.364482,0)   (-0.999311,0)     (2.24575,0)    (-4.53044,0)    (-4.28299,0)     (2.17243,0)   (-0.962347,0)    (0.337563,0)  (-0.0779427,0)  (-0.0249168,0)   (0.0541579,0)  (-0.0601196,0)   (0.0547874,0)   (0.0096877,0)    (0.127715,0)    (0.461602,0)    (0.897096,0)     (1.12228,0)    (0.928149,0)    (0.499913,0)    (0.154047,0)   (0.0244397,0)   (-0.128612,0)    (0.342962,0)   (-0.668283,0)     (1.27854,0)    (-2.34404,0)     (4.05101,0)    (-6.08319,0)     (7.21907,0)   (-0.732905,0)     (1.63914,0)    (-2.80849,0)     (4.38593,0)    (-6.16426,0)     (7.17094,0)    (-6.07895,0)    (-2.02742,0)     (3.81948,0)    (-5.37073,0)      (6.4709,0)    (-6.18505,0)     (4.05964,0)    (-3.20026,0)     (4.93505,0)    (-5.37296,0)      (4.4042,0)    (-2.34554,0)    (-3.17922,0)     (3.81274,0)    (-2.82005,0)     (1.27453,0)    (-1.97846,0)     (1.62853,0)   (-0.652912,0)   (-0.688623,0)    (0.317403,0)  (-0.0936198,0) 
  (-0.014883,0)   (-0.014883,0)     (2.97942,0)   (0.0166256,0)    (0.112357,0)    (0.384322,0)    (0.727648,0)     (0.89392,0)    (0.727648,0)    (0.384322,0)    (0.112357,0)   (0.0166256,0)   (0.0551111,0)  (-0.0641595,0)   (0.0628794,0)  (-0.0437979,0)  (-0.0344937,0)    (0.234281,0)   (-0.729253,0)     (1.69545,0)    (-3.56246,0)    (-3.56246,0)     (1.69545,0)   (-0.729253,0)    (0.234281,0)  (-0.0344937,0)  (-0.0437979,0)   (0.0628794,0)  (-0.0641595,0)   (0.0551111,0)  (-0.0899657,0)   (-0.559758,0)    (-1.60517,0)     (-2.5613,0)     (-2.5613,0)    (-1.60517,0)   (-0.559758,0)  (-0.0899657,0)    (0.266831,0)     (1.29964,0)     (3.06545,0)     (3.96009,0)     (3.06545,0)     (1.29964,0)    (0.266831,0)   (-0.533722,0)    (-2.25147,0)    (-4.31595,0)    (-4.31595,0)    (-2.25147,0)   (-0.533722,0)     (1.03403,0)     (3.52114,0)      (5.2103,0)     (3.52114,0)     (1.03403,0)    (-1.89424,0)    (-4.96659,0)    (-4.96659,0)    (-1.89424,0)     (3.28966,0)     (5.77076,0)     (3.28966,0)    (-4.94531,0)    (-4.94531,0)     (6.00045,0) 
   (-4.53044,0)   (0.0445809,0)   (0.0166256,0)     (10.1633,0)    (-4.06046,0)     (1.86971,0)   (-0.787359,0)    (0.246986,0) (-0.00608022,0)  (-0.0931309,0)    (0.129071,0)   (-0.130782,0)  (-0.0702198,0)   (-0.346526,0)    (-0.98919,0)    (-1.57475,0)    (-1.57357,0)   (-0.978484,0)   (-0.348014,0)  (-0.0522064,0)  (0.00658238,0)  (-0.0516751,0)   (0.0839679,0)   (-0.119293,0)    (0.152854,0)   (-0.122714,0)  (-0.0554937,0)    (0.711693,0)    (-2.03264,0)     (2.80225,0)    (-11.6356,0)     (9.80392,0)    (-7.09187,0)     (4.57576,0)    (-2.73714,0)     (1.57375,0)   (-0.864364,0)    (0.349605,0)      (7.5957,0)    (-10.0707,0)     (9.54391,0)    (-7.52785,0)     (5.24887,0)    (-3.31549,0)     (1.58245,0)    (-4.42852,0)      (7.8098,0)    (-9.11703,0)     (8.43487,0)    (-6.56685,0)      (3.7801,0)     (2.06955,0)    (-4.80522,0)     (6.70771,0)    (-6.97115,0)     (4.99909,0)    (-0.85972,0)     (2.59849,0)    (-4.14717,0)     (3.98015,0)    (0.276699,0)    (-1.19879,0)     (1.80348,0)  (-0.0628693,0)    (0.375506,0)  (-0.0150737,0) 
    (2.24575,0)  (-0.0467683,0)    (0.112357,0)    (-4.06046,0)     (8.09808,0)    (-2.07228,0)      (1.0087,0)   (-0.485884,0)    (0.180755,0)  (-0.0103183,0)  (-0.0852709,0)    (0.129071,0)    (0.109026,0)    (0.402989,0)    (0.953609,0)     (1.16417,0)    (0.791267,0)    (0.248656,0) (-0.00265172,0)  (-0.0341453,0)  (-0.0515723,0)    (-0.25411,0)    (0.295974,0)   (-0.296662,0)    (0.254969,0)    (-0.20812,0)    (0.159554,0)   (-0.450843,0)     (1.25144,0)    (-2.03084,0)     (1.62643,0)    (-8.99969,0)     (5.73393,0)     (-4.1596,0)     (2.87252,0)    (-1.87303,0)      (1.1403,0)   (-0.508699,0)    (-2.19047,0)     (5.99288,0)    (-6.18971,0)     (5.63373,0)    (-4.54486,0)     (3.25437,0)    (-1.72625,0)    (0.696187,0)    (-3.72313,0)     (4.99194,0)    (-5.45526,0)     (4.98675,0)    (-3.29275,0)    (0.415061,0)     (1.47566,0)    (-2.72467,0)     (3.58415,0)     (-3.1483,0)   (-0.609124,0)   (-0.374301,0)     (1.11229,0)    (-1.51649,0)    (0.544022,0)  (-0.0745409,0)   (-0.205975,0)   (-0.353374,0)    (0.115369,0)    (0.178316,0) 
  (-0.999311,0)   (0.0383966,0)    (0.384322,0)     (1.86971,0)    (-2.07228,0)     (7.22398,0)    (-1.21683,0)    (0.663914,0)   (-0.378021,0)    (0.166122,0)  (-0.0103183,0)  (-0.0931309,0)   (-0.150316,0)   (-0.405409,0)   (-0.767155,0)   (-0.633837,0)   (-0.174934,0)   (0.0624961,0)   (0.0886201,0)  (0.00463803,0)   (-0.299691,0)   (-0.764277,0)    (0.742861,0)   (-0.605952,0)    (0.452085,0)   (-0.303371,0)    (0.296083,0)   (-0.071819,0)   (-0.456365,0)     (0.66423,0)    (-1.08427,0)    (-1.77998,0)    (-6.89801,0)     (3.32153,0)    (-2.49603,0)     (1.87736,0)    (-1.29674,0)    (0.651212,0)     (1.82548,0)    (0.150855,0)     (3.92067,0)    (-3.38427,0)     (3.11356,0)    (-2.61569,0)     (1.59209,0)    (-1.27274,0)   (-0.948836,0)    (-2.23416,0)     (2.67248,0)    (-2.90259,0)     (2.30581,0)    (0.930273,0)      (1.7461,0)    (0.320223,0)   (-0.970793,0)     (1.26524,0)    (-1.27367,0)     (-1.3367,0)     (0.32773,0)   (0.0480006,0)     (1.35482,0)    (0.755321,0)   (-0.318046,0)    (-1.22351,0)    (-0.23825,0)    (0.839924,0) 
   (0.364482,0) (-0.00662565,0)    (0.727648,0)   (-0.787359,0)      (1.0087,0)    (-1.21683,0)     (7.01399,0)   (-0.920679,0)    (0.576049,0)   (-0.378021,0)    (0.180755,0) (-0.00608022,0)      (0.1895,0)    (0.357339,0)    (0.551027,0)    (0.214892,0)   (-0.076701,0)    (-0.15221,0)   (0.0430945,0)     (0.21904,0)   (-0.806615,0)    (-1.24249,0)    (0.931424,0)   (-0.523537,0)    (0.194148,0)  (-0.0340778,0)   (-0.250713,0)    (0.281652,0)    (0.218146,0) (-0.00880402,0)   (-0.138079,0)    (0.406374,0)    (-3.89176,0)    (-5.86805,0)     (2.09769,0)    (-1.61237,0)     (1.28868,0)   (-0.741418,0)   (-0.928361,0)     (1.84783,0)     (1.91971,0)     (2.77152,0)    (-1.96971,0)     (1.78636,0)    (-1.28621,0)   (-0.235545,0)    (-1.99042,0)    (-2.23092,0)    (-1.27428,0)     (1.47079,0)    (-1.35391,0)     (1.13868,0)     (1.89944,0)     (2.46436,0)   (-0.395249,0)   (-0.150764,0)    (-1.36282,0)    (-2.43456,0)    (-1.27491,0)    (0.505009,0)     (1.97758,0)     (2.02161,0)    (0.315535,0)    (-2.26292,0)    (-1.09891,0)       (1.928,0) 
 (-0.0986043,0)  (-0.0986043,0)     (0.89392,0)    (0.246986,0)   (-0.485884,0)    (0.663914,0)   (-0.920679,0)     (6.98361,0)   (-0.920679,0)    (0.663914,0)   (-0.485884,0)    (0.246986,0)   (-0.167376,0)   (-0.291489,0)   (-0.344686,0) (-0.00646164,0)    (0.223911,0)  (-0.0487875,0)   (-0.159608,0)    (0.652963,0)    (-1.26586,0)    (-1.26586,0)    (0.652963,0)   (-0.159608,0)  (-0.0487875,0)    (0.223911,0) (-0.00646164,0)   (-0.344686,0)   (-0.291489,0)   (-0.167376,0)    (0.664042,0)   (-0.981808,0)      (1.3018,0)    (-5.06711,0)    (-5.06711,0)      (1.3018,0)   (-0.981808,0)    (0.664042,0)    (0.921787,0)    (-1.30441,0)      (2.1489,0)     (2.51921,0)      (2.1489,0)    (-1.30441,0)    (0.921787,0)    (0.768449,0)   (-0.660882,0)    (-2.48905,0)    (-2.48905,0)   (-0.660882,0)    (0.768449,0)   (-0.551655,0)      (2.1156,0)     (2.39269,0)      (2.1156,0)   (-0.551655,0)   (-0.558178,0)    (-2.47952,0)    (-2.47952,0)   (-0.558178,0)     (1.24293,0)     (2.97453,0)     (1.24293,0)    (-2.20719,0)    (-2.20719,0)     (2.51071,0) 
(-0.00662565,0)    (0.364482,0)    (0.727648,0) (-0.00608022,0)    (0.180755,0)   (-0.378021,0)    (0.576049,0)   (-0.920679,0)     (7.01399,0)    (-1.21683,0)      (1.0087,0)   (-0.787359,0) (-0.00880402,0)    (0.218146,0)    (0.281652,0)   (-0.250713,0)  (-0.0340778,0)    (0.194148,0)   (-0.523537,0)    (0.931424,0)    (-1.24249,0)   (-0.806615,0)     (0.21904,0)   (0.0430945,0)    (-0.15221,0)   (-0.076701,0)    (0.214892,0)    (0.551027,0)    (0.357339,0)      (0.1895,0)   (-0.741418,0)     (1.28868,0)    (-1.61237,0)     (2.09769,0)    (-5.86805,0)    (-3.89176,0)    (0.406374,0)   (-0.138079,0)    (-1.28621,0)     (1.78636,0)    (-1.96971,0)     (2.77152,0)     (1.91971,0)     (1.84783,0)   (-0.928361,0)    (-1.35391,0)     (1.47079,0)    (-1.27428,0)    (-2.23092,0)    (-1.99042,0)   (-0.235545,0)   (-0.150764,0)   (-0.395249,0)     (2.46436,0)     (1.89944,0)     (1.13868,0)    (0.505009,0)    (-1.27491,0)    (-2.43456,0)    (-1.36282,0)    (0.315535,0)     (2.02161,0)     (1.97758,0)    (-1.09891,0)    (-2.26292,0)       (1.928,0) 
  (0.0383966,0)   (-0.999311,0)    (0.384322,0)  (-0.0931309,0)  (-0.0103183,0)    (0.166122,0)   (-0.378021,0)    (0.663914,0)    (-1.21683,0)     (7.22398,0)    (-2.07228,0)     (1.86971,0)     (0.66423,0)   (-0.456365,0)   (-0.071819,0)    (0.296083,0)   (-0.303371,0)    (0.452085,0)   (-0.605952,0)    (0.742861,0)   (-0.764277,0)   (-0.299691,0)  (0.00463803,0)   (0.0886201,0)   (0.0624961,0)   (-0.174934,0)   (-0.633837,0)   (-0.767155,0)   (-0.405409,0)   (-0.150316,0)    (0.651212,0)    (-1.29674,0)     (1.87736,0)    (-2.49603,0)     (3.32153,0)    (-6.89801,0)    (-1.77998,0)    (-1.08427,0)     (1.59209,0)    (-2.61569,0)     (3.11356,0)    (-3.38427,0)     (3.92067,0)    (0.150855,0)     (1.82548,0)     (2.30581,0)    (-2.90259,0)     (2.67248,0)    (-2.23416,0)   (-0.948836,0)    (-1.27274,0)     (1.26524,0)   (-0.970793,0)    (0.320223,0)      (1.7461,0)    (0.930273,0)   (0.0480006,0)     (0.32773,0)     (-1.3367,0)    (-1.27367,0)   (-0.318046,0)    (0.755321,0)     (1.35482,0)    (-0.23825,0)    (-1.22351,0)    (0.839924,0) 
