Index,Value
0,(1018.91,0)
1,(555.06,0)
2,(786.306,0)
3,(846.26,0)
4,(846.26,0)
5,(786.306,0)
6,(555.06,0)
7,(1018.91,0)
8,(412.955,0)
9,(-591.625,0)
10,(-230.734,0)
11,(-848.488,0)
12,(-230.734,0)
13,(-591.625,0)
14,(412.955,0)
15,(807.985,0)
16,(197.93,0)
17,(661.047,0)
18,(661.047,0)
19,(197.93,0)
20,(807.985,0)
21,(94.6779,0)
22,(-456.415,0)
23,(-841.15,0)
24,(-456.415,0)
25,(94.6779,0)
26,(589.501,0)
27,(701.534,0)
28,(701.534,0)
29,(589.501,0)
30,(-366.429,0)
31,(-801.263,0)
32,(-366.429,0)
33,(803.441,0)
34,(803.441,0)
35,(-742.765,0)
