# Modal Analysis Results
# Format: Debug Text Output
# Generated: Jun  6 2026 15:18:30

=== HEADER ===
Magic: SEMF
Version: 2 (Debug Text)
Number of Modes: 10
Number of Nodes: 169

=== NODES ===
Format: NodeID, X, Y
1, -10, -10
8, 0, -10
9, 0, 0
2, -10, 0
0, -9.15112, -10
10, -7.34424, -10
11, -5, -10
12, -2.65576, -10
13, -0.848881, -10
14, 0, -9.15112
15, 0, -7.34424
16, 0, -5
17, 0, -2.65576
18, 0, -0.848881
19, -0.848881, 0
20, -2.65576, 0
21, -5, 0
22, -7.34424, 0
23, -9.15112, 0
24, -10, -0.848881
25, -10, -2.65576
26, -10, -5
27, -10, -7.34424
28, -10, -9.15112
29, -9.15112, -9.15112
30, -7.34424, -9.15112
31, -5, -9.15112
32, -2.65576, -9.15112
33, -0.848881, -9.15112
34, -9.15112, -7.34424
35, -7.34424, -7.34424
36, -5, -7.34424
37, -2.65576, -7.34424
38, -0.848881, -7.34424
39, -9.15112, -5
40, -7.34424, -5
41, -5, -5
42, -2.65576, -5
43, -0.848881, -5
44, -9.15112, -2.65576
45, -7.34424, -2.65576
46, -5, -2.65576
47, -2.65576, -2.65576
48, -0.848881, -2.65576
49, -9.15112, -0.848881
50, -7.34424, -0.848881
51, -5, -0.848881
52, -2.65576, -0.848881
53, -0.848881, -0.848881
4, 0, 10
3, -10, 10
54, 0, 0.848881
55, 0, 2.65576
56, 0, 5
57, 0, 7.34424
58, 0, 9.15112
59, -0.848881, 10
60, -2.65576, 10
61, -5, 10
62, -7.34424, 10
63, -9.15112, 10
64, -10, 9.15112
65, -10, 7.34424
66, -10, 5
67, -10, 2.65576
68, -10, 0.848881
69, -9.15112, 0.848881
70, -7.34424, 0.848881
71, -5, 0.848881
72, -2.65576, 0.848881
73, -0.848881, 0.848881
74, -9.15112, 2.65576
75, -7.34424, 2.65576
76, -5, 2.65576
77, -2.65576, 2.65576
78, -0.848881, 2.65576
79, -9.15112, 5
80, -7.34424, 5
81, -5, 5
82, -2.65576, 5
83, -0.848881, 5
84, -9.15112, 7.34424
85, -7.34424, 7.34424
86, -5, 7.34424
87, -2.65576, 7.34424
88, -0.848881, 7.34424
89, -9.15112, 9.15112
90, -7.34424, 9.15112
91, -5, 9.15112
92, -2.65576, 9.15112
93, -0.848881, 9.15112
6, 10, 0
5, 10, 10
94, 0.848881, 0
95, 2.65576, 0
96, 5, 0
97, 7.34424, 0
98, 9.15112, 0
99, 10, 0.848881
100, 10, 2.65576
101, 10, 5
102, 10, 7.34424
103, 10, 9.15112
104, 9.15112, 10
105, 7.34424, 10
106, 5, 10
107, 2.65576, 10
108, 0.848881, 10
109, 0.848881, 0.848881
110, 2.65576, 0.848881
111, 5, 0.848881
112, 7.34424, 0.848881
113, 9.15112, 0.848881
114, 0.848881, 2.65576
115, 2.65576, 2.65576
116, 5, 2.65576
117, 7.34424, 2.65576
118, 9.15112, 2.65576
119, 0.848881, 5
120, 2.65576, 5
121, 5, 5
122, 7.34424, 5
123, 9.15112, 5
124, 0.848881, 7.34424
125, 2.65576, 7.34424
126, 5, 7.34424
127, 7.34424, 7.34424
128, 9.15112, 7.34424
129, 0.848881, 9.15112
130, 2.65576, 9.15112
131, 5, 9.15112
132, 7.34424, 9.15112
133, 9.15112, 9.15112
7, 10, -10
134, 0.848881, -10
135, 2.65576, -10
136, 5, -10
137, 7.34424, -10
138, 9.15112, -10
139, 10, -9.15112
140, 10, -7.34424
141, 10, -5
142, 10, -2.65576
143, 10, -0.848881
144, 0.848881, -0.848881
145, 0.848881, -2.65576
146, 0.848881, -5
147, 0.848881, -7.34424
148, 0.848881, -9.15112
149, 2.65576, -0.848881
150, 2.65576, -2.65576
151, 2.65576, -5
152, 2.65576, -7.34424
153, 2.65576, -9.15112
